"Pathway_Code","Pathway_Name","Gene"
"ATF2","ATF2 pathway","DUSP10"
"ATF2","ATF2 pathway","DUSP5"
"ATF2","ATF2 pathway","DUSP8"
"ATF2","ATF2 pathway","EP300"
"ATF2","ATF2 pathway","ESR1"
"ATF2","ATF2 pathway","FOS"
"ATF2","ATF2 pathway","GADD45A"
"ATF2","ATF2 pathway","HBG2"
"ATF2","ATF2 pathway","HES1"
"ATF2","ATF2 pathway","HRK"
"ATF2","ATF2 pathway","IFNG"
"ATF2","ATF2 pathway","IL23A"
"ATF2","ATF2 pathway","IL6"
"ATF2","ATF2 pathway","INS"
"ATF2","ATF2 pathway","JDP2"
"ATF2","ATF2 pathway","JUN"
"ATF2","ATF2 pathway","JUNB"
"ATF2","ATF2 pathway","JUND"
"ATF2","ATF2 pathway","KAT5"
"ATF2","ATF2 pathway","MACROH2A1"
"ATF2","ATF2 pathway","MAPK1"
"ATF2","ATF2 pathway","MAPK11"
"ATF2","ATF2 pathway","MAPK14"
"ATF2","ATF2 pathway","MAPK3"
"ATF2","ATF2 pathway","MAPK8"
"ATF2","ATF2 pathway","MAPK9"
"ATF2","ATF2 pathway","MMP2"
"ATF2","ATF2 pathway","NF1"
"ATF2","ATF2 pathway","NOS2"
"ATF2","ATF2 pathway","PDGFRA"
"ATF2","ATF2 pathway","PLAU"
"ATF2","ATF2 pathway","POU2F1"
"ATF2","ATF2 pathway","PPARGC1A"
"ATF2","ATF2 pathway","PRKCA"
"ATF2","ATF2 pathway","RB1"
"ATF2","ATF2 pathway","RUVBL2"
"ATF2","ATF2 pathway","SELE"
"ATF2","ATF2 pathway","SERPINB5"
"ATF2","ATF2 pathway","SOCS3"
"ATF2","ATF2 pathway","TGFB2"
"ATF2","ATF2 pathway","TH"
"MAPK","MAPK signaling pathway","ATF2"
"MAPK","MAPK signaling pathway","CEBPA"
"MAPK","MAPK signaling pathway","CHUK"
"MAPK","MAPK signaling pathway","CREB1"
"MAPK","MAPK signaling pathway","DAXX"
"MAPK","MAPK signaling pathway","ELK1"
"MAPK","MAPK signaling pathway","FOS"
"MAPK","MAPK signaling pathway","GRB2"
"MAPK","MAPK signaling pathway","HRAS"
"MAPK","MAPK signaling pathway","IKBKB"
"MAPK","MAPK signaling pathway","JUN"
"MAPK","MAPK signaling pathway","MAP2K1"
"MAPK","MAPK signaling pathway","MAP2K2"
"MAPK","MAPK signaling pathway","MAP2K3"
"MAPK","MAPK signaling pathway","MAP2K4"
"MAPK","MAPK signaling pathway","MAP2K5"
